Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"U3,U2,U1",TLV2271DBV,3,TLV2771CDBVT,https://www.digikey.com/en/products/detail/texas-instruments/TLV2771CDBVT/1678064
2,J2,jstsh4x1,1,jstsh4x1,https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB-LF-SN/926710
3,"R8,R7,R6,R5,R4,R3",0603_R,6,1M,https://www.digikey.com/en/products/detail/yageo/RC0603FR-071ML/726844
4,"R2,R1",0603_R,2,1k,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FT1K00/1761077
5,J1,jstsh9x1,1,jstsh9x1,https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM09B-SRSS-TB-LF-SN/926715
6,"C3,C2,C1",0603_C,3,5pF,https://www.digikey.com/en/products/detail/tdk-corporation/C1608C0G2A050C080AA/3955663
7,BZ1,piezo_buzzer_alt,1,Buzzer,
8,"H1,H4,H3,H2",mount_hole_2.5mm,4,MountingHole,
